Instancia,Máxima Diversidad,Media Diversidad,Desviación
MDG-b_21_n2000_m200.txt,10118935.683235541,10106495.872933535,9662.000693579741
MDG-b_22_n2000_m200.txt,10133191.5862677,10117427.475462511,9729.810587698981
MDG-b_23_n2000_m200.txt,10143284.160992322,10110997.360335955,15977.311785704296
MDG-b_24_n2000_m200.txt,10129099.25569389,10101356.554911755,16226.195256565394
MDG-b_25_n2000_m200.txt,10165418.402304085,10117876.336874446,20308.689292466337
MDG-b_26_n2000_m200.txt,10129004.645834861,10106288.627945032,13428.97392104003
MDG-b_27_n2000_m200.txt,10124686.608938333,10104877.442556575,8636.125925571878
MDG-b_28_n2000_m200.txt,10141944.40114384,10112837.370201003,15536.427311083557
MDG-b_29_n2000_m200.txt,10109625.705443462,10096791.875838036,9295.599276037514
MDG-b_30_n2000_m200.txt,10118115.34604615,10099696.89499464,10577.651746635474
