Instancia,Máxima Diversidad,Media Diversidad,Desviación
MDG-c_10_n3000_m400.txt,40177941.0,40125892.8,33154.262018027184
MDG-c_13_n3000_m500.txt,62832027.0,62695404.4,63024.81889573345
MDG-c_14_n3000_m500.txt,62761168.0,62709673.7,41404.88706433094
MDG-c_15_n3000_m500.txt,62811829.0,62701387.9,61800.480845135826
MDG-c_19_n3000_m600.txt,90329559.0,90265342.8,41088.25198228808
MDG-c_1_n3000_m300.txt,22659313.0,22633252.4,18012.260869752026
MDG-c_20_n3000_m600.txt,90332251.0,90236703.3,52269.14237492327
MDG-c_2_n3000_m300.txt,22660728.0,22625555.8,25217.229747932266
MDG-c_8_n3000_m400.txt,40226358.0,40155836.1,39352.91676216644
MDG-c_9_n3000_m400.txt,40202671.0,40146779.8,24597.57094023717
