Instancia,Máxima Diversidad,Media Diversidad,Desviación
MDG-b_21_n2000_m200.txt,11044884.935137853,10991871.783278584,37516.86951833473
MDG-b_22_n2000_m200.txt,11086845.820233757,10972059.759085227,54462.11507291562
MDG-b_23_n2000_m200.txt,11040744.154277332,10960141.90970104,36044.80280432718
MDG-b_24_n2000_m200.txt,10993878.755055662,10933043.80105309,43926.67896634457
MDG-b_25_n2000_m200.txt,11021439.54324226,10966513.129201878,30222.83752458347
MDG-b_26_n2000_m200.txt,11070528.895512557,10988511.814343262,52987.34636869148
MDG-b_27_n2000_m200.txt,11040703.997045353,10971838.996710509,43594.53350347919
MDG-b_28_n2000_m200.txt,11038220.593959285,10961322.182335917,55000.01237654973
MDG-b_29_n2000_m200.txt,11037724.658071388,10940835.823363695,42230.07763352338
MDG-b_30_n2000_m200.txt,11040484.12701597,10982425.317803036,47593.4637859058
