Instancia,Máxima Diversidad,Media Diversidad,Desviación
MDG-c_10_n3000_m400.txt,42667460.0,42292206.5,233632.27025488153
MDG-c_13_n3000_m500.txt,66059017.0,65666133.9,249633.30633128664
MDG-c_14_n3000_m500.txt,66239118.0,65632156.7,257592.97771486317
MDG-c_15_n3000_m500.txt,65780843.0,65559236.8,177577.78421570643
MDG-c_19_n3000_m600.txt,94308384.0,93954351.4,174732.9200947549
MDG-c_1_n3000_m300.txt,24396028.0,24091654.7,138045.0498352259
MDG-c_20_n3000_m600.txt,93835573.0,93593260.2,192679.82982699564
MDG-c_2_n3000_m300.txt,24467123.0,24104018.1,173278.31809920707
MDG-c_8_n3000_m400.txt,42499241.0,42293711.6,174480.261793247
MDG-c_9_n3000_m400.txt,42508675.0,42303160.8,138798.23206928826
